Column1,Column2,Category,Category_2,Inside/ outside,"Season (winter, autumn, spring, summer, all)","Morning, afternoon, evening",Free or paid,"Time, h"
Учреждения осуществляющие управленческие функции,9,Другое,Другое,внутри,все,день,free,0.5
Границы территорий объектов культурного наследия,3293,Культура,Культура,снаружи,все,"утро, день",free,1
Границы зон охраны объектов культурного наследия,516,Культура,Культура,снаружи,все,"утро, день",free,1
Театры,83,Культура,Театры,внутри,все,вечер,paid,3
Дома культуры и клубы,78,Культура,Культура,внутри,все,"утро, день",paid,2
Музеи,55,Культура,Музеи,внутри,все,"утро, день",paid,2
Выставочные залы,22,Культура,Выставки,внутри,все,"утро, день",paid,2
Концертные организации,19,Культура,Концерты,внутри,все,вечер,paid,3
Кинотеатры,14,Культура,Кино,внутри,все,"утро, день, вечер",paid,2
Выставки ледяных скульптур,3,Культура,Выставки,внутри,зима,"утро, день, вечер",paid,1
Объекты культурного наследия,8318,Культура ,Архитектура,внутри,все,"утро, день",paid,2
Библиотеки,269,Образование,Библиотеки,внутри,все,"утро, день",free,1
Образовательные учреждения,154,Образование,Образование,внутри,все,"утро, день",free,1
Аттракционы в скверах и парках,218,Парки,Аттракционы,снаружи,лето,"день, вечер",paid,2
Места для пикника,164,Парки,Досуг,снаружи,все,"утро, день, вечер",free,3
Пешеходные зоны,20,Парки,Досуг,снаружи,все,"утро, день, вечер",free,0.5
Снежные городки,19,Парки,Аттракционы,снаружи,зима,"утро, день, вечер",free,1
Снежные горки в парках,18,Парки,Аттракционы,снаружи,зима,"утро, день, вечер",paid,1
Парковые территории,15,Парки,Досуг,снаружи,все,"утро, день, вечер",free,2
Универсальные зоны отдыха в парках,8,Парки,Досуг,снаружи,все,"утро, день, вечер",free,1
Детские игровые площадки в парках,296,С детьми,Аттракционы,снаружи,все,"утро, день, вечер",free,1
Детские развивающие центры,7,С детьми ,Образование,внутри,все,"утро, день, вечер",paid,2
Спортивные площадки,1663,Спорт,Фитнес,снаружи,все,"утро, день, вечер",free,2
Открытые ледовые катки,1368,Спорт,Зимний спорт,снаружи,зима,"утро, день, вечер",paid,1
Тренажерные городки (воркауты),867,Спорт,Фитнес,снаружи,лето,"утро, день, вечер",free,1
Лыжные трассы города Москвы,391,Спорт,Зимний спорт,снаружи,зима,"утро, день, вечер",free,2
Бассейны плавательные крытые,382,Спорт,Водный спорт,внутри,все,"утро, день, вечер",paid,2
Поля футбольные,359,Спорт,Командные игры,снаружи,"осень, лето, весна","утро, день, вечер",free,2
Ледовые поля (крытые),83,Спорт,Зимний спорт,внутри,все,"утро, день, вечер",paid,1
Ледяные горки в парках,43,Спорт,Аттракционы,снаружи,зима,"утро, день, вечер",paid,1
Площадки спортивные универсальные в парках,40,Спорт,Фитнес,снаружи,все,"утро, день, вечер",free,1
Стрелковые тиры,22,Спорт,Стрельбище,внутри,все,"утро, день, вечер",paid,1
Лыжные базы,20,Спорт,Зимний спорт,снаружи,зима,"утро, день, вечер",free,2
Горнолыжные склоны,19,Спорт,Зимний спорт,снаружи,зима,"утро, день, вечер",paid,2
Скалодромы крытые,11,Спорт,Фитнес,внутри,все,"утро, день, вечер",paid,2
Оборудованные места для зимнего купания в парках,9,Спорт,Зимний спорт,снаружи,зима,"утро, день, вечер",free,0.5
Площадки для кёрлинга,7,Спорт,Командные игры,внутри,все,"утро, день, вечер",paid,1
Площадки пейнтбольные,7,Спорт,Командные игры,внутри,все,"утро, день, вечер",paid,2
Поля конно-спортивные для конкура и выездки,7,Спорт,Другое,снаружи,"весна, лето, осень","утро, день, вечер",paid,1
Трассы для снегоходов  квадроциклов  ездовых упряжек и прочего,6,Спорт,Авто,снаружи,зима,"утро, день, вечер",free,1
Автодромы спортивные крытые,5,Спорт,Авто,внутри,все,"утро, день, вечер",paid,1
Площадки для городошного спорта,5,Спорт,Другое,внутри,все,"утро, день, вечер",free,1
Автодромы спортивные открытые,4,Спорт,Авто,снаружи,"весна, лето, осень","утро, день, вечер",paid,2
Бассейны плавательные открытые,4,Спорт,Водный спорт,снаружи,лето,"утро, день, вечер",paid,1
Места катания на лошадях,4,Спорт,Другое,снаружи,все,"утро, день, вечер",paid,1
Поля регбийные,3,Спорт,Командные игры,снаружи,все,"утро, день, вечер",free,1
Площадки для сноуборда,2,Спорт,Зимний спорт,снаружи,зима,"утро, день, вечер",paid,2
Скалодромы открытые,2,Спорт,Фитнес,снаружи,лето,"утро, день, вечер",paid,1
Стрельбища,1,Спорт,Стрельбище,снаружи,все,"утро, день, вечер",paid,1
